fecha_extraccion,operacion,categoria,titulo,raw_location,provincia,canton,zona,zona_normalizada_completa,precio_raw,currency_raw,total_price_estimated_usd,m2,price_per_m2,price_flag,url_anuncio,motivo_outlier,outlier_method
2026-05-18,venta,casas,Venta Casa Granadilla de Curridabat. Condominio Monterán,"Granadilla | Curridabat | San José, Curridabat, Granadilla",San Jose,Curridabat,Granadilla,San Jose | Curridabat | Granadilla,1790000,USD,1790000,630,2841.27,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-casa-granadilla-de-curridabat-condominio-monteran/32048601,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"Venta. Ciudad Colón. Lujo, paz, hermosos jardines en una planta.",Río Oro | Santa Ana | Ciudad Colón,San Jose,Santa Ana,Río Oro,San Jose | Santa Ana | Río Oro,2300000,USD,2300000,700,3285.71,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-ciudad-colon-lujo-paz-hermosos-jardines-en-una-planta/29068715,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Venta Propiedad Comercial e Institucional en La Sabana.,"Mata Redonda | San José Capital | San Jose, Sabana, ROHRMOSER",San Jose,San Jose,Mata Redonda,San Jose | San Jose | Mata Redonda,1424380,USD,1424380,698,2040.66,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-propiedad-comercial-e-institucional-en-la-sabana/31713528,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,VENTA CASA DE LUJO EN LINDORA | 1 PLANTA | PISCINA PRIVADA,Lindora | Santa Ana | Santa Ana Lindora,San Jose,Santa Ana,Lindora,San Jose | Santa Ana | Lindora,1400000,USD,1400000,515,2718.45,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-casa-de-lujo-en-lindora-1-planta-piscina-privada/32212257,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,MODALIDAD CEDO DEUDA,Desamparados | San José provincia | SAN MIGUEL DESAMPARADOS,San Jose,Sin canton,Desamparados,San Jose | Sin canton | Desamparados,13500000,CRC,29630.61,171,173.28,outlier_check_manually,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/modalidad-cedo-deuda/32212458,outlier_check_manually,
2026-05-18,venta,casas,"Gran oportunidad! Espectacular casa en Cerro Alto, Escazú",San Rafael | Escazú,San Jose,Escazu,San Rafael,San Jose | Escazu | San Rafael,1350000,USD,1350000,562,2402.14,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/gran-oportunidad-espectacular-casa-en-cerro-alto-escazu/31429700,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Quepos- Casa Moderna con 2.6 Hectáreas - Puro Lujo- Espacio y Amenidades,Naranjito | Aguirre | Finca Tranquila,Sin provincia,Sin canton,Naranjito,Sin provincia | Sin canton | Naranjito,1595000,USD,1595000,838,1903.34,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/quepos-casa-moderna-con-2-6-hectareas-puro-lujo-espacio-y-amenidades/32028107,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,Venta de Hermosa Villa en San Isidro de Heredia,San Isidro | Heredia provincia | Montañas de San Isidro,Heredia,Sin canton,San Isidro,Heredia | Sin canton | San Isidro,1395000,USD,1395000,436,3199.54,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-hermosa-villa-en-san-isidro-de-heredia/32135909,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,"VENTA DE CASA / LOTE CON USO MIXTO y ZONA VERDE 2,000m²","Santa Ana Centro | Santa Ana | San José, Santa Ana, Costa Rica",San Jose,Santa Ana,Santa Ana Centro,San Jose | Santa Ana | Santa Ana Centro,1200000,USD,1200000,2510,478.09,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-casa-lote-con-uso-mixto-y-zona-verde-2-000m/31317004,IQR_zona,IQR_zona
2026-05-18,venta,casas,Se Vende Residencia de Lujo en Santa Ana,Pozos | Santa Ana | Parque Residencial Valle del Sol,San Jose,Santa Ana,Pozos,San Jose | Santa Ana | Pozos,1300000,USD,1300000,712,1825.84,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/se-vende-residencia-de-lujo-en-santa-ana/28144038,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"CASA VENTA ESCAZU, SAN MIGUEL MP 26-175",Escazú,San Jose,Escazu,Escazú,San Jose | Escazu | Escazú,2400000,USD,2400000,1000,2400,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/casa-venta-escazu-san-miguel-mp-26-175/31627249,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Venta de casa en San Francisco de Heredia ideal para comercio,San Francisco | Heredia,Heredia,Heredia,San Francisco,Heredia | Heredia | San Francisco,1500000,USD,1500000,2000,750,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-casa-en-san-francisco-de-heredia-ideal-para-comercio/30829766,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Residencia de lujo en Escazu con vistas panorámicas,Escazú,San Jose,Escazu,Escazú,San Jose | Escazu | Escazú,2500000,USD,2500000,2000,1250,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/residencia-de-lujo-en-escazu-con-vistas-panoramicas/32367296,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"Venta amplia y hermosa casa, 2 niveles, San Sebastián",San Sebastián | San José Capital | De Iglesia Comunidad Pas. 200 m este,San Jose,San Jose,San Sebastián,San Jose | San Jose | San Sebastián,297000,USD,297000,250,1188,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-amplia-y-hermosa-casa-2-niveles-san-sebastian/28836628,IQR_zona,IQR_zona
2026-05-18,venta,casas,Se vende. Escazú: residencia exclusiva con amplios espacios y ubicación inmejorable,Escazú | San José provincia | Escazu,San Jose,Escazu,Escazú,San Jose | Escazu | Escazú,1250000,USD,1250000,600,2083.33,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/se-vende-escazu-residencia-exclusiva-con-amplios-espacios-y-ubicacion-inmejorable/31088834,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,Se vende lujosa y amplia Casa de una planta en Monterán (MA).,Sanchez | Curridabat,San Jose,Curridabat,Sanchez,San Jose | Curridabat | Sanchez,1355000,USD,1355000,720,1881.94,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/se-vende-lujosa-y-amplia-casa-de-una-planta-en-monteran-ma/30395199,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Exclusiva! Venta Casa de Lujo en el TIROL HEREDIA.,"San Rafael | Heredia provincia | El Tirol, San Rafael de Heredia",Alajuela,Alajuela,San Rafael,Alajuela | Alajuela | San Rafael,1300000,USD,1300000,600,2166.67,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/exclusiva-venta-casa-de-lujo-en-el-tirol-heredia/31641167,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,VENTA finca increible cerca de San Jose,Tres Ríos | La Unión | 83017979,Cartago,La Union,Tres Ríos,Cartago | La Union | Tres Ríos,2300000,USD,2300000,600,3833.33,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-finca-increible-cerca-de-san-jose/31404842,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Preciosa casa en residencia cerrada !,Alajuelita | San José provincia | LIMITE DE LA AJUELITA Y ESCAZU BELLE HORIZONTE,San Jose,Alajuelita,Alajuelita,San Jose | Alajuelita | Alajuelita,350000,USD,350000,264,1325.76,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/preciosa-casa-en-residencia-cerrada/32019120,IQR_zona,IQR_zona
2026-05-18,venta,casas,"Casa en La Unión de Cartago, con zonas verdes","Tres Ríos | La Unión | Dulce Nombre de Tres Ríos, 800 metros del cruce de la entrada del antiguo Seminario Menor, hoy Escuela Juan XXIII, sobre la calle Martínez.",Cartago,La Union,Tres Ríos,Cartago | La Union | Tres Ríos,1600000,USD,1600000,800,2000,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/casa-en-la-union-de-cartago-con-zonas-verdes/24240597,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Venta de Casa-Casa Espaciosa y Estudio Independiente,Jacó | Garabito | Las Monas,Puntarenas,Garabito,Jacó,Puntarenas | Garabito | Jacó,845000,USD,845000,2210,382.35,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-casa-casa-espaciosa-y-estudio-independiente/31134751,IQR_zona,IQR_zona
2026-05-18,venta,casas,Venta de casa vacacional en Pérez Zeledón,"San Isidro del General | Pérez Zeledón | San Luis, General Viejo, Pérez Zeledón",Sin provincia,Sin canton,San Isidro del General,Sin provincia | Sin canton | San Isidro del General,650000000,CRC,1426658.77,670,2129.34,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-casa-vacacional-en-perez-zeledon/32330074,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,ALQUILER DE CASA EN CONDOMINIO AMOBLADA O SOLO LÍNEA BLANCA,San Antonio | Escazú | SAN ANTONIO DE ESCAZU,San Jose,Escazu,San Antonio,San Jose | Escazu | San Antonio,2000,USD,300000,150,2000,possible_m2_price_check_manually,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/alquiler-de-casa-en-condominio-amoblada-o-solo-linea-blanca/31837216,possible_m2_price_check_manually,
2026-05-18,venta,casas,"VENTA CASA SANTA ANA, PIEDADES. CONDOMINIO HACIENDA REAL",Santa Ana Centro | Santa Ana | Condominio Hacienda Real,San Jose,Santa Ana,Santa Ana Centro,San Jose | Santa Ana | Santa Ana Centro,1250000,USD,1250000,725,1724.14,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-casa-santa-ana-piedades-condominio-hacienda-real/28289480,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Casa Moderna en Construcción con Piscina y Vista al Mar – Coco Bay,Playas del Coco | Carrillo,Guanacaste,Carrillo,Playas del Coco,Guanacaste | Carrillo | Playas del Coco,1600000,USD,1600000,408,3921.57,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/casa-moderna-en-construccion-con-piscina-y-vista-al-mar-coco-bay/31736252,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Venta exclusiva en Cartago 2 casas y consultorio (todo con menaje).,Costa Rica | Torre Sp #2G,Cartago,Sin canton,Cartago provincia,Cartago | Sin canton | Cartago provincia,850000000,CRC,1865630.69,3000,621.88,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-exclusiva-en-cartago-2-casas-y-consultorio-todo-con-menaje/30610392,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"Lujosa casa en Cerro Real, Escazú","San Rafael | Escazú | Santa Ana, San José, Costa Rica",San Jose,Escazu,San Rafael,San Jose | Escazu | San Rafael,1200000,USD,1200000,590,2033.9,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/lujosa-casa-en-cerro-real-escazu/31822914,IQR_zona,IQR_zona
2026-05-18,venta,casas,PROPIEDAD REALMENTE ÚNICA EN ATENAS,Atenas | Alajuela provincia,Alajuela,Sin canton,Atenas,Alajuela | Sin canton | Atenas,1250000,USD,1250000,884,1414.03,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/propiedad-realmente-unica-en-atenas/31432232,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,Venta. Santa Ana Centro. Propiedad resindecial con dos casas.,Santa Ana Centro | Santa Ana,San Jose,Santa Ana,Santa Ana Centro,San Jose | Santa Ana | Santa Ana Centro,1175000,USD,1175000,,,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-santa-ana-centro-propiedad-resindecial-con-dos-casas/29061337,IQR_zona,IQR_zona
2026-05-18,venta,casas,Venta. Santa Ana. Casa con piscina privada.,Brasil | Santa Ana | Barsil de Santa Ana,San Jose,Santa Ana,Brasil,San Jose | Santa Ana | Brasil,749000,USD,749000,545,1374.31,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-santa-ana-casa-con-piscina-privada/25719167,IQR_zona,IQR_zona
2026-05-18,venta,casas,Exclusividad frente al Pacífico – Villa de 5 habitaciones en Corona del Cabo,Playa Grande | Santa Cruz | Guanacaste-Playa Grande,Guanacaste,Santa Cruz,Playa Grande,Guanacaste | Santa Cruz | Playa Grande,1097750,USD,1097750,347,3163.54,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/exclusividad-frente-al-pacifico-villa-de-5-habitaciones-en-corona-del-cabo/31606304,IQR_zona,IQR_zona
2026-05-18,venta,casas,"Casa de Lujo en La Guácima, Villas del Arroyo | 5048 m² , 800 m² Construcción, Piscina y Vistas","Guácima | Alajuela | La Guácima, Las Vueltas, Condominio",Alajuela,Alajuela,Guácima,Alajuela | Alajuela | Guácima,1700000,USD,1700000,802,2119.7,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/casa-de-lujo-en-la-guacima-villas-del-arroyo-5048-m-800-m-construccion-piscina-y-vistas/25703447,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Masterpiece en Piedades: Quinta Privada con 7 Cabañas Generando Ingresos,Piedades | Santa Ana,San Jose,Santa Ana,Piedades,San Jose | Santa Ana | Piedades,1800000,USD,1800000,1164,1546.39,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/masterpiece-en-piedades-quinta-privada-con-7-cabanas-generando-ingresos/32255610,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Venta de Propiedad con inversión de 4 casas en Colima de Tibás,Tibás | San José provincia | 900m sur del Banco Nacional. San Pedro. Montes de Oca,San Jose,Tibas,Tibás,San Jose | Tibas | Tibás,1550000,USD,1550000,707,2192.36,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-propiedad-con-inversion-de-4-casas-en-colima-de-tibas/32257898,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,Venta de casa de 2 plantas ubicada en el Centro de Coronado,"Vázquez de Coronado | San José provincia | Sabana Norte, Frente a Casa España",San Jose,Sin canton,Vázquez de Coronado,San Jose | Sin canton | Vázquez de Coronado,320000,CRC,245824.28,350,702.36,possible_m2_price_check_manually,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-casa-de-2-plantas-ubicada-en-el-centro-de-coronado/32395252,possible_m2_price_check_manually,
2026-05-18,venta,casas,INVERSIONISTA HEREDIA,San Joaquín | Flores | heredia,Heredia,Flores,San Joaquín,Heredia | Flores | San Joaquín,1350000,USD,1350000,4625,291.89,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/inversionista-heredia/32072218,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,Casa de un Nivel con 4 Habitaciones en Valle del Sol,Pozos | Santa Ana | Valle del Sol,San Jose,Santa Ana,Pozos,San Jose | Santa Ana | Pozos,1400000,USD,1400000,500,2800,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/casa-de-un-nivel-con-4-habitaciones-en-valle-del-sol/32227195,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"Venta de Casa en LLorente, Flores, Heredia Calle Bouganvillea","Llorente | Flores | LLorente, Flores de Heredia, Calle Bouganvillea",Heredia,Flores,Llorente,Heredia | Flores | Llorente,89000000,CRC,195342.51,173,1129.15,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-casa-en-llorente-flores-heredia-calle-bouganvillea/31459929,IQR_zona,IQR_zona
2026-05-18,venta,casas,"EXCLUSIVIDAD, NATURALEZA Y PRIVACIDAD EN SANTO TOMÁS",Santo Domingo | Heredia provincia,Heredia,Sin canton,Santo Domingo,Heredia | Sin canton | Santo Domingo,1250000,USD,1250000,400,3125,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/exclusividad-naturaleza-y-privacidad-en-santo-tomas/32341327,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,CONSTRUCCION Y VENTA DE CASA LLAVE EN MANO,Heredia,Heredia,Sin canton,Heredia,Heredia | Sin canton | Heredia,400000,CRC,175588.77,200,877.94,possible_m2_price_check_manually,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/construccion-y-venta-de-casa-llave-en-mano/32227232,possible_m2_price_check_manually,
2026-05-18,venta,casas,Prefab house for sale,Santa Cruz | Guanacaste provincia,Guanacaste,Sin canton,Santa Cruz,Guanacaste | Sin canton | Santa Cruz,29900,USD,2242500,75,29900,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/prefab-house-for-sale/32338928,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Casa en venta – Condominio Guayacán Real,Ciudad Curridabat | Curridabat | Pinares curridabat,San Jose,Curridabat,Ciudad Curridabat,San Jose | Curridabat | Ciudad Curridabat,1285000,USD,1285000,500,2570,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-condominio-guayacan-real/31967216,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Venta de propiedad con apartamentos en Tres Ríos,Desamparados | San José provincia,San Jose,Sin canton,Desamparados,San Jose | Sin canton | Desamparados,1,CRC,0,290,0,outlier_check_manually,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-propiedad-con-apartamentos-en-tres-rios/32438036,outlier_check_manually,
2026-05-18,venta,casas,"VENTA DE CASA DE 1 NIVEL EN BOSQUES DE LINDORA, SANTA ANA*","Lindora | Santa Ana | San Jose, Santa Ana, Lindora",San Jose,Santa Ana,Lindora,San Jose | Santa Ana | Lindora,1395000,USD,1395000,515,2708.74,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-casa-de-1-nivel-en-bosques-de-lindora-santa-ana/32434877,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,"Quinta a la venta en Turrucares, Alajuela",Turrúcares | Alajuela,Alajuela,Alajuela,Turrúcares,Alajuela | Alajuela | Turrúcares,1250000,USD,1250000,330,3787.88,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/quinta-a-la-venta-en-turrucares-alajuela/32265533,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,"Lujo en San Ramón Tres Ríos: 2,313m² de Lote y Vistas Increíbles",San Diego | La Unión | Condominio abitu,Cartago,La Union,San Diego,Cartago | La Union | San Diego,585000,USD,585000,487,1201.23,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/lujo-en-san-ramon-tres-rios-2-313m-de-lote-y-vistas-increibles/32317690,IQR_zona,IQR_zona
2026-05-18,venta,casas,"VENTA Terreno Comercial 4.625 m² en Flores, Heredia – Ideal Bodegas",Llorente | Flores | Llorente de Flores,Heredia,Flores,Llorente,Heredia | Flores | Llorente,1350000,USD,1350000,1000,1350,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-terreno-comercial-4-625-m-en-flores-heredia-ideal-bodegas/32323178,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,"Casa de lujo en venta en Condominio Cerro Alto, Escazú, San José","San Rafael | Escazú | Condominio Cerro Alto, Escazú",San Jose,Escazu,San Rafael,San Jose | Escazu | San Rafael,1350000,USD,1350000,652,2070.55,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/casa-de-lujo-en-venta-en-condominio-cerro-alto-escazu-san-jose/32033259,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Venta de casa y guardería en Belén.,La Asunción | Belén | La Asunción de Belén. Sobre Calle Principal.,Heredia,Belen,La Asunción,Heredia | Belen | La Asunción,550000000,CRC,1207172.8,711,1697.85,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-casa-y-guarderia-en-belen/31796076,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,Venta de Mansión en Escazú Costa Rica,"Escazú | San Pedro, Montes de Oca",San Jose,Escazu,Escazú,San Jose | Escazu | Escazú,1495000,USD,1495000,3200,467.19,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-mansion-en-escazu-costa-rica/31762572,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"SE VENDE Casa de Lujo a Estrenar. Condominio Francosta, Heredia, Costa Rica YZ","Ulloa | Heredia | Condominio Francosta, Ulloa, Heredia",Heredia,Heredia,Ulloa,Heredia | Heredia | Ulloa,925000,USD,925000,425,2176.47,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/se-vende-casa-de-lujo-a-estrenar-condominio-francosta-heredia-costa-rica-yz/31902563,IQR_zona,IQR_zona
2026-05-18,venta,casas,"Casa en venta en Residencial Manantiales, Belén, Remate","Belén | Heredia provincia | Belén, Heredia",Heredia,Sin canton,Belén,Heredia | Sin canton | Belén,1542495,USD,1542495,1008,1530.25,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-en-residencial-manantiales-belen-remate/32264719,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,VENTA DE CASA EN BOSQUES DE LINDORA*,"Lindora | Santa Ana | San José, Santa Ana, Lindora",San Jose,Santa Ana,Lindora,San Jose | Santa Ana | Lindora,2200000,USD,2200000,873,2520.05,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-casa-en-bosques-de-lindora/32264806,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"En Venta . Independiente Calle Privada, La Guácima",Guácima | Alajuela | La Guacima,Alajuela,Alajuela,Guácima,Alajuela | Alajuela | Guácima,2300000,USD,2300000,913,2519.17,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/en-venta-independiente-calle-privada-la-guacima/32281937,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"ALQUILER DE CASA 3 HABITACIONES, CON PATIO CONDOMINIO NAOS",Barrantes (San Lorenzo) | Flores,Heredia,Flores,Barrantes (San Lorenzo),Heredia | Flores | Barrantes (San Lorenzo),1800,USD,351000,195,1800,possible_m2_price_check_manually,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/alquiler-de-casa-3-habitaciones-con-patio-condominio-naos/32333284,possible_m2_price_check_manually,
2026-05-18,venta,casas,"CASA VENTA ESCAZU, SAN MIGUEL MP 26-175",Escazú,San Jose,Escazu,Escazú,San Jose | Escazu | Escazú,2400000,USD,2400000,1000,2400,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/casa-venta-escazu-san-miguel-mp-26-175/31377985,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"ESCAZU-SAN ANTONIO. Mansión exclusiva en venta – lujo, privacidad y naturaleza MP 26-711",San Antonio | Escazú,San Jose,Escazu,San Antonio,San Jose | Escazu | San Antonio,1495000,USD,1495000,3200,467.19,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/escazu-san-antonio-mansion-exclusiva-en-venta-lujo-privacidad-y-naturaleza-mp-26-711/32077646,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"G.A. Se Vende Complejo con casa principal y 20 apartamentos. San Lorenzo, Heredia.","Barrantes (San Lorenzo) | Flores | Avalon Country Club, Local 5",Heredia,Flores,Barrantes (San Lorenzo),Heredia | Flores | Barrantes (San Lorenzo),3950000,USD,3950000,3668,1076.88,outlier_check_manually,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/g-a-se-vende-complejo-con-casa-principal-y-20-apartamentos-san-lorenzo-heredia/32402531,IQR_operacion;IQR_zona; outlier_check_manually,IQR_operacion;IQR_zona
2026-05-18,venta,casas,CASA EN SAN RAFAEL DE HEREDIA,San Rafael | Heredia provincia | CONCEPCION SAN RAFAEL DE HEREDIA,Alajuela,Alajuela,San Rafael,Alajuela | Alajuela | San Rafael,1250000,USD,1250000,446,2802.69,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/casa-en-san-rafael-de-heredia/32198165,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,"Finca 14ha con Casa en Playa Naranjo, Puntarenas – Potencial de Desarrollo",Lepanto | Puntarenas | Playa Naranjo de Puntarenas,Puntarenas,Puntarenas,Lepanto,Puntarenas | Puntarenas | Lepanto,3000000,USD,3000000,300,10000,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/finca-14ha-con-casa-en-playa-naranjo-puntarenas-potencial-de-desarrollo/29639417,IQR_operacion,IQR_operacion
2026-05-18,venta,casas,Casa en Venta en Curridabat 18023,Granadilla | Curridabat,San Jose,Curridabat,Granadilla,San Jose | Curridabat | Granadilla,1550000,USD,1550000,850,1823.53,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-en-curridabat-18023/32198737,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,"Venta de Hermosa Propiedad de Lujo para Vivienda o Desarrollo, Tobosi, El Guarco, Cartago",El Tejar | El Guarco | info@goreal.cr,Cartago,Sin canton,El Tejar,Cartago | Sin canton | El Tejar,4500000,USD,4500000,2000,2250,outlier_check_manually,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-de-hermosa-propiedad-de-lujo-para-vivienda-o-desarrollo-tobosi-el-guarco-cartago/28871880,IQR_operacion;IQR_zona; outlier_check_manually,IQR_operacion;IQR_zona
2026-05-18,venta,casas,Venta Casa de Lujo en condominio El Gregal,Tres Ríos | La Unión,Cartago,La Union,Tres Ríos,Cartago | La Union | Tres Ríos,1300000,USD,1300000,520,2500,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/venta-casa-de-lujo-en-condominio-el-gregal/32301993,IQR_operacion;IQR_zona,IQR_operacion;IQR_zona
2026-05-18,venta,casas,CRISTAL URUCA AMPLIA CASA DE UNA PLANTA CON PISCINA #1137,"Uruca | San José Capital | Barrio Carvajal, de canal 6, 500 m oeste, La Uruca",San Jose,San Jose,Uruca,San Jose | San Jose | Uruca,900000,USD,900000,580,1551.72,,https://www.encuentra24.com/costa-rica-es/bienes-raices-venta-de-propiedades-casas/cristal-uruca-amplia-casa-de-una-planta-con-piscina-1137/28855650,IQR_zona,IQR_zona
